GEOID20,District
04019000062,1
04019000080,1
04019000094,1
04019000053,1
04019000108,1
04019000159,1
04019000086,1
04019000042,1
04019000045,1
04019000047,1
04019000246,1
04019000050,1
04019000054,1
04019000026,1
04019000111,1
04019000114,1
04019000063,1
04019000044,1
04019000066,1
04019000064,1
04019000078,1
04019000113,1
04019000051,1
04019000096,1
04019000093,1
04019000143,1
04019000018,1
04019000232,1
04019000048,1
04019000082,1
04019000098,1
04019000105,1
04019000247,1
04019000028,1
04019000196,2
04019000189,1
04019000244,1
04019000052,1
04019000025,1
04019000160,1
04019000103,1
04019000245,1
04019000123,1
04019000069,1
04019000217,2
04019000117,1
04019000120,1
04019000133,1
04019000100,1
04019000180,1
04019000218,1
04019000129,1
04019000122,1
04019000132,1
04019000124,1
04019000183,1
04019000130,1
04019000119,1
04019000156,1
04019000182,1
04019000091,1
04019000039,1
04019000128,1
04019000197,1
04019000192,1
04019000121,1
04019000177,1
04019000116,1
04019000174,1
04019000181,1
04019000107,1
04019000131,1
04019000009,1
04019000126,1
04019000243,1
04019000178,1
04019000046,1
04019000199,1
04019000179,1
04019000241,1
04019000118,1
04019000125,1
04019000220,1
04019000065,1
04019000240,1
04019000027,1
04019000112,1
04019000029,1
04019000211,1
04019000170,1
04019000239,1
04019000061,1
04019000210,1
04019000158,1
04019000012,1
04019000088,1
04019000237,1
04019000056,1
04019000214,1
04019000171,1
04019000238,1
04019000163,1
04019000148,1
04019000013,1
04019000031,1
04019000092,1
04019000201,1
04019000184,1
04019000032,1
04019000015,1
04019000079,1
04019000202,1
04019000200,1
04019000225,1
04019000014,1
04019000162,1
04019000186,1
04019000150,1
04019000226,1
04019000035,1
04019000187,1
04019000030,1
04019000142,1
04019000085,1
04019000228,1
04019000230,1
04019000134,1
04019000223,1
04019000149,1
04019000194,1
04019000127,1
04019000191,1
04019000173,1
04019000055,1
04019000040,1
04019000185,1
04019000081,1
04019000146,1
04019000219,1
04019000161,1
04019000213,1
04019000175,2
04019000006,2
04019000222,2
04019000215,2
04019000070,2
04019000151,2
04019000101,2
04019000144,2
04019000022,2
04019000036,1
04019000097,1
04019000043,1
04019000021,2
04019000020,1
04019000017,1
04019000034,1
04019000016,1
04019000033,1
04019000037,1
04019000153,1
04019000166,1
04019000073,1
04019000038,1
04019000167,1
04019000058,1
04019000068,1
04019000154,1
04019000164,1
04019000057,1
04019000234,2
04019000233,2
04019000023,2
04019000203,2
04019000157,2
04019000041,2
04019000104,1
04019000242,1
04019000115,1
04019000212,1
04019000145,1
04019000188,1
04019000169,1
04019000216,1
04019000172,1
04019000077,1
04019000024,1
04019000072,1
04019000106,1
04019000067,1
04019000099,1
04019000089,1
04019000087,1
04019000075,1
04019000221,2
04019000011,2
04019000109,2
04019000229,2
04019000198,2
04019000195,2
04019000224,1
04019000090,1
04019000176,1
04019000049,1
04019000095,1
04019000019,2
04019000236,2
04019000152,2
04019000110,2
04019000235,2
04019000059,1
04019000102,2
04019000190,2
04019000248,1
04019000155,2
04019000231,2
04019000249,2
04019000136,2
04019000003,2
04019000204,2
04019000076,2
04019000138,2
04019000135,2
04019000137,2
04019000060,2
04019000007,2
04019000208,2
04019000168,2
04019000008,2
04019000227,2
04019000147,2
04019000002,2
04019000209,2
04019000140,2
04019000005,2
04019000084,2
04019000141,2
04019000206,2
04019000205,2
04019000004,2
04019000071,2
04019000001,2
04019000074,2
04019000193,2
04019000083,2
04019000139,2
04019000207,2
04019000165,2
04019000010,2
04021000082,4
04021000034,4
04021000025,3
04021000024,3
04021000013,3
04021000023,3
04021000037,4
04021000029,4
04021000097,4
04021000100,4
04021000092,3
04021000046,4
04021000030,4
04021000005,3
04021000018,4
04021000041,3
04021000038,4
04021000010,4
04021000009,4
04021000048,4
04021000059,4
04021000017,4
04021000007,3
04021000049,4
04021000051,4
04021000019,4
04021000026,4
04021000012,3
04021000091,3
04021000068,4
04021000022,3
04021000055,4
04021000036,4
04021000014,3
04021000105,3
04021000067,4
04021000076,4
04021000016,3
04021000020,3
04021000104,3
04021000015,3
04021000061,4
04021000054,4
04021000053,4
04021000031,4
04021000027,4
04021000039,4
04021000028,4
04021000095,4
04021000086,4
04021000085,4
04021000101,4
04021000001,3
04021000098,4
04021000099,4
04021000081,4
04021000011,3
04021000080,4
04021000040,4
04021000004,3
04021000102,4
04021000006,3
04021000044,4
04021000058,4
04021000088,4
04021000033,4
04021000043,4
04021000094,4
04021000047,4
04021000070,4
04021000057,4
04021000083,4
04021000090,4
04021000008,3
04021000096,4
04021000050,4
04021000062,4
04021000093,3
04021000032,4
04021000074,4
04021000079,4
04021000052,4
04021000060,4
04021000089,4
04021000069,4
04021000078,4
04021000042,4
04021000064,4
04021000035,4
04021000063,4
04021000073,4
04021000071,4
04021000084,4
04021000087,4
04021000045,4
04021000077,4
04021000103,3
04021000021,4
04021000056,4
04021000075,4
04021000066,4
04021000072,4
04003000025,3
04003000006,3
04003000039,3
04003000047,3
04003000010,3
04003000044,3
04003000008,3
04003000035,3
04003000015,3
04003000021,3
04003000013,3
04003000031,3
04003000026,3
04003000046,3
04003000003,3
04003000037,3
04003000034,3
04003000024,3
04003000027,3
04003000014,3
04003000019,3
04003000007,3
04003000005,3
04003000002,3
04003000020,3
04003000012,3
04003000038,3
04003000049,3
04003000045,3
04003000004,3
04003000041,3
04003000043,3
04003000033,3
04003000023,3
04003000022,3
04003000001,3
04003000017,3
04003000016,3
04003000040,3
04003000028,3
04003000029,3
04003000048,3
04003000011,3
04003000036,3
04003000042,3
04003000032,3
04003000009,3
04003000018,3
04003000030,3
04027000P37,2
04027000P35,2
04027000P23,2
04027000P18,2
04027000P29,2
04027000P10,2
04027000P24,2
04027000P38,2
04027000P17,2
04027000P15,2
04027000P20,2
04027000P31,2
04027000P06,2
04027000P27,2
04027000P32,2
04027000P25,2
04027000P22,2
04027000P11,2
04027000P13,2
04027000P07,2
04027000P28,2
04027000P26,2
04027000P19,2
04027000P34,2
04027000P43,2
04027000P04,2
04027000P08,2
04027000P39,2
04027000P42,2
04027000P09,2
04027000P16,2
04027000P36,2
04027000P40,2
04027000P33,2
04027000P30,2
04027000P05,2
04027000P12,2
04027000P02,2
04027000P41,2
04027000P01,2
04027000P21,2
04027000P03,2
04027000P14,2
04012000057,2
04012000062,2
04012000051,2
04012000055,2
04012000056,2
04012000060,2
04012000052,2
04012000064,2
04012000058,2
04012000054,2
04012000059,2
04012ZZZZZZ,2
04015000211,3
04015000209,3
04015000220,3
04015000217,3
04015000201,3
04015000215,3
04015000223,3
04015000212,3
04015000213,3
04015000216,3
04015000210,3
04015000222,3
04015000205,3
04015000208,3
04015000206,3
04015000218,3
04015000202,3
04015000204,3
04015000221,3
04015000207,3
04015000214,3
04015000219,3
04015000203,3
04015000224,3
04005000040,3
04005000098,3
04005000024,3
04005000080,3
04005000058,3
04005000048,3
04005000092,3
04005000099,3
04005000042,3
04005000059,3
04005000043,3
04005000047,3
04005000097,3
04005000069,3
04005000056,3
04005000011,3
04005000062,3
04005000041,3
04005000073,3
04005000075,3
04005000074,3
04005000053,3
04005000015,3
04005000079,3
04005000001,3
04005000061,3
04005000093,3
04005000064,3
04005000071,3
04005000052,3
04005000063,3
04005000065,3
